name,microseconds
2_8,153.584000
8_14,154.250000
8_14_null_2,145.410000
8_14_null_10,160.588000
8_14_null_100,157.231000
2_8,154.426000
8_14,153.308000
8_14_null_2,145.396000
8_14_null_10,160.985000
8_14_null_100,157.462000
2_8,153.526000
8_14,154.103000
8_14_null_2,145.318000
8_14_null_10,161.023000
8_14_null_100,157.552000
2_8,153.941000
8_14,154.360000
8_14_null_2,145.350000
8_14_null_10,161.312000
8_14_null_100,157.606000
2_8,153.910000
8_14,154.515000
8_14_null_2,145.399000
8_14_null_10,162.016000
8_14_null_100,157.748000
2_8,154.042000
8_14,158.312000
8_14_null_2,146.287000
8_14_null_10,163.721000
8_14_null_100,158.295000
2_8,154.510000
8_14,154.948000
8_14_null_2,145.359000
8_14_null_10,161.947000
8_14_null_100,158.221000
2_8,153.775000
8_14,154.367000
8_14_null_2,145.285000
8_14_null_10,161.230000
8_14_null_100,157.542000
2_8,154.206000
8_14,154.628000
8_14_null_2,145.342000
8_14_null_10,161.569000
8_14_null_100,158.140000
2_8,153.868000
8_14,154.226000
8_14_null_2,145.383000
8_14_null_10,161.412000
8_14_null_100,157.662000
2_8,154.406000
8_14,153.863000
8_14_null_2,145.314000
8_14_null_10,161.903000
8_14_null_100,157.931000
2_8,154.124000
8_14,154.995000
8_14_null_2,145.356000
8_14_null_10,162.022000
8_14_null_100,157.955000
2_8,154.103000
8_14,154.521000
8_14_null_2,145.351000
8_14_null_10,161.449000
8_14_null_100,157.967000
2_8,154.229000
8_14,154.640000
8_14_null_2,146.040000
8_14_null_10,161.810000
8_14_null_100,158.197000
2_8,153.101000
8_14,154.262000
8_14_null_2,145.402000
8_14_null_10,162.721000
8_14_null_100,158.536000
2_8,152.894000
8_14,155.655000
8_14_null_2,145.333000
8_14_null_10,164.355000
8_14_null_100,159.189000
2_8,155.862000
8_14,155.636000
8_14_null_2,145.346000
8_14_null_10,163.583000
8_14_null_100,159.285000
2_8,155.149000
8_14,155.568000
8_14_null_2,145.389000
8_14_null_10,163.714000
8_14_null_100,158.856000
2_8,155.637000
8_14,155.724000
8_14_null_2,145.404000
8_14_null_10,163.690000
8_14_null_100,159.340000
2_8,156.600000
8_14,155.316000
8_14_null_2,145.343000
8_14_null_10,163.575000
8_14_null_100,159.191000
2_8,155.435000
8_14,155.812000
8_14_null_2,145.355000
8_14_null_10,163.601000
8_14_null_100,159.229000
2_8,155.520000
8_14,155.804000
8_14_null_2,145.355000
8_14_null_10,163.719000
8_14_null_100,159.545000
2_8,155.972000
8_14,156.166000
8_14_null_2,145.354000
8_14_null_10,163.737000
8_14_null_100,159.664000
2_8,155.421000
8_14,155.837000
8_14_null_2,145.351000
8_14_null_10,163.607000
8_14_null_100,159.149000
2_8,156.354000
8_14,155.913000
8_14_null_2,145.426000
8_14_null_10,164.270000
8_14_null_100,159.687000
2_8,155.812000
8_14,156.112000
8_14_null_2,145.279000
8_14_null_10,163.920000
8_14_null_100,159.716000
2_8,155.688000
8_14,156.017000
8_14_null_2,145.356000
8_14_null_10,163.540000
8_14_null_100,159.393000
2_8,156.408000
8_14,156.266000
8_14_null_2,145.329000
8_14_null_10,164.314000
8_14_null_100,159.410000
2_8,156.194000
8_14,156.019000
8_14_null_2,145.299000
8_14_null_10,163.964000
8_14_null_100,159.685000
2_8,156.117000
8_14,156.298000
8_14_null_2,145.356000
8_14_null_10,164.109000
8_14_null_100,159.854000
2_8,155.867000
8_14,156.041000
8_14_null_2,145.465000
8_14_null_10,164.812000
8_14_null_100,159.461000
2_8,155.911000
8_14,156.235000
8_14_null_2,145.322000
8_14_null_10,164.059000
8_14_null_100,164.487000
2_8,156.302000
8_14,156.860000
8_14_null_2,145.450000
8_14_null_10,164.822000
8_14_null_100,160.485000
2_8,156.417000
8_14,156.046000
8_14_null_2,145.567000
8_14_null_10,164.423000
8_14_null_100,159.731000
2_8,156.200000
8_14,156.269000
8_14_null_2,145.308000
8_14_null_10,164.766000
8_14_null_100,160.165000
2_8,156.315000
8_14,156.235000
8_14_null_2,145.350000
8_14_null_10,164.158000
8_14_null_100,159.523000
2_8,156.264000
8_14,156.267000
8_14_null_2,145.338000
8_14_null_10,164.593000
8_14_null_100,160.091000
2_8,156.312000
8_14,156.523000
8_14_null_2,145.364000
8_14_null_10,164.511000
8_14_null_100,160.281000
2_8,156.536000
8_14,156.170000
8_14_null_2,145.321000
8_14_null_10,164.068000
8_14_null_100,159.847000
2_8,156.228000
8_14,156.270000
8_14_null_2,145.466000
8_14_null_10,164.907000
8_14_null_100,159.988000
2_8,156.245000
8_14,156.452000
8_14_null_2,145.353000
8_14_null_10,164.322000
8_14_null_100,159.867000
2_8,156.230000
8_14,156.242000
8_14_null_2,145.372000
8_14_null_10,164.464000
8_14_null_100,159.980000
2_8,156.336000
8_14,156.319000
8_14_null_2,145.369000
8_14_null_10,164.332000
8_14_null_100,159.949000
2_8,156.283000
8_14,156.677000
8_14_null_2,145.373000
8_14_null_10,164.977000
8_14_null_100,160.064000
2_8,155.855000
8_14,156.392000
8_14_null_2,145.406000
8_14_null_10,164.223000
8_14_null_100,159.824000
2_8,156.288000
8_14,156.581000
8_14_null_2,145.372000
8_14_null_10,164.733000
8_14_null_100,160.206000
2_8,156.263000
8_14,156.547000
8_14_null_2,145.351000
8_14_null_10,164.919000
8_14_null_100,160.330000
2_8,156.825000
8_14,156.470000
