name,microseconds
2_8,208.174000
8_14,208.510000
8_14_null_2,182.075000
8_14_null_10,216.925000
8_14_null_100,211.566000
2_8,208.150000
8_14,208.402000
8_14_null_2,180.406000
8_14_null_10,216.894000
8_14_null_100,211.739000
2_8,208.817000
8_14,208.447000
8_14_null_2,182.032000
8_14_null_10,216.767000
8_14_null_100,211.422000
2_8,208.321000
8_14,208.406000
8_14_null_2,181.928000
8_14_null_10,216.694000
8_14_null_100,211.594000
2_8,208.256000
8_14,208.578000
8_14_null_2,181.947000
8_14_null_10,217.717000
8_14_null_100,211.681000
2_8,208.646000
8_14,208.433000
8_14_null_2,182.083000
8_14_null_10,216.704000
8_14_null_100,211.710000
2_8,208.578000
8_14,208.316000
8_14_null_2,182.158000
8_14_null_10,216.606000
8_14_null_100,211.611000
2_8,208.396000
8_14,208.408000
8_14_null_2,182.854000
8_14_null_10,216.702000
8_14_null_100,211.862000
2_8,208.715000
8_14,208.575000
8_14_null_2,181.960000
8_14_null_10,217.338000
8_14_null_100,211.762000
2_8,208.285000
8_14,208.474000
8_14_null_2,181.959000
8_14_null_10,216.936000
8_14_null_100,211.670000
2_8,208.451000
8_14,208.387000
8_14_null_2,181.975000
8_14_null_10,216.734000
8_14_null_100,211.814000
2_8,208.327000
8_14,208.417000
8_14_null_2,182.052000
8_14_null_10,216.742000
8_14_null_100,211.247000
2_8,208.702000
8_14,208.403000
8_14_null_2,182.184000
8_14_null_10,217.089000
8_14_null_100,211.369000
2_8,208.266000
8_14,208.311000
8_14_null_2,181.981000
8_14_null_10,216.646000
8_14_null_100,211.735000
2_8,208.368000
8_14,208.341000
8_14_null_2,181.978000
8_14_null_10,216.816000
8_14_null_100,211.242000
2_8,208.572000
8_14,208.423000
8_14_null_2,182.090000
8_14_null_10,216.951000
8_14_null_100,211.602000
2_8,208.556000
8_14,207.958000
8_14_null_2,181.834000
8_14_null_10,216.748000
8_14_null_100,211.701000
2_8,208.109000
8_14,208.398000
8_14_null_2,182.125000
8_14_null_10,216.176000
8_14_null_100,211.678000
2_8,207.957000
8_14,208.480000
8_14_null_2,182.119000
8_14_null_10,216.897000
8_14_null_100,211.733000
2_8,208.047000
8_14,208.479000
8_14_null_2,181.982000
8_14_null_10,216.688000
8_14_null_100,211.271000
2_8,208.368000
8_14,208.442000
8_14_null_2,181.978000
8_14_null_10,216.912000
8_14_null_100,211.261000
2_8,208.695000
8_14,208.367000
8_14_null_2,182.204000
8_14_null_10,216.838000
8_14_null_100,211.619000
2_8,208.581000
